Idno,Year,Month,FIPS,Locality,HouseholdsServed,IndividualsServed,PoundsFoodDistributed,childserevedNFNP,PoundsfoodNFNP,Latitude,Longitude,MTWStatus,Geopoint
1364,2019,April,65.0,Fluvanna County,510.0,1135.0,26466.35,99.0,2552.0,37.8305761,-78.2844345,Matching and updated,POINT (-78.2844345 37.8305761)
1365,2019,September,75.0,Goochland County,65.0,826.0,40156.0,0.0,0.0,37.7241655,-77.9142733,Matching and updated,POINT (-77.9142733 37.7241655)
1366,2019,December,183.0,Sussex County,153.0,430.0,7765.0,0.0,0.0,36.9266454,-77.2597319,Matching and updated,POINT (-77.2597319 36.9266454)
1367,2020,March,670.0,Hopewell City,144.0,154.0,24006.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
1368,2019,June,137.0,Orange County,594.0,1491.0,48098.14,0.0,0.0,38.2504394,-78.0099795,Matching and updated,POINT (-78.0099795 38.2504394)
1369,2021,February,510.0,Alexandria City,908.0,2971.0,186327.7875,0.0,18843.0,38.8183429,-77.0820263,Matching and updated,POINT (-77.0820263 38.8183429)
1370,2020,September,117.0,Mecklenburg County,1828.0,3028.0,10834.0,0.0,0.0,36.6872563,-78.3689592,Matching and updated,POINT (-78.3689592 36.6872563)
1371,2020,March,790.0,STAUNTON CITY,593.0,5593.0,27504.3,0.0,445.0,38.1580558,-79.0615011,Matching and updated,POINT (-79.0615011 38.1580558)
1372,2021,June,570.0,Colonial Heights City,51.0,118.0,39249.0,0.0,0.0,37.2616846,-77.3968043,Matching and updated,POINT (-77.3968043 37.2616846)
1373,2020,August,97.0,King and Queen County,0.0,0.0,0.0,0.0,0.0,37.7143698,-76.901863,Matching and updated,POINT (-76.901863 37.7143698)
1374,2019,July,135.0,Nottoway County,214.0,2045.0,33194.0,0.0,0.0,37.1436955,-78.0521623,Matching and updated,POINT (-78.0521623 37.1436955)
1375,2020,May,89.0,Henry County,3445.0,11106.0,80447.05,620.0,30964.0,36.6206074,-79.9806728,Matching and updated,POINT (-79.9806728 36.6206074)
1376,2019,March,770.0,Roanoke City,5270.0,24694.0,269940.5,1248.0,10203.0,37.2778301,-79.9584716,Matching and updated,POINT (-79.9584716 37.2778301)
1377,2021,June,143.0,Pittsylvania County,417.0,1026.0,20813.31,0.0,0.0,36.8217206,-79.3985019,Matching and updated,POINT (-79.3985019 36.8217206)
1378,2019,November,159.0,Richmond County,27.0,54.0,1984250.0,0.0,0.0,37.9428935,-76.7305609,Matching and updated,POINT (-76.7305609 37.9428935)
1379,2021,February,29.0,Buckingham County,504.0,956.0,22834.93,0.0,0.0,37.573928,-78.5291687,Matching and updated,POINT (-78.5291687 37.573928)
1380,2020,December,13.0,Arlington County,908.0,2971.0,80093.6521007523,0.0,7509.0,38.8783374,-77.1007034,Matching and updated,POINT (-77.1007034 38.8783374)
1381,2019,February,580.0,Covington City,371.0,1307.0,19361.5,0.0,0.0,37.7781426,-79.986039,Matching and updated,POINT (-79.986039 37.7781426)
1382,2020,February,89.0,Henry County,2346.0,3552.0,73041.59,225.0,226.0,36.6206074,-79.9806728,Matching and updated,POINT (-79.9806728 36.6206074)
1383,2020,April,670.0,Hopewell City,0.0,983.0,0.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
1384,2020,December,83.0,Halifax County,533.0,1157.0,19403.0,0.0,0.0,36.766461,-78.9396142,Matching and updated,POINT (-78.9396142 36.766461)
1385,2019,October,670.0,Hopewell City,0.0,1149.0,0.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
1386,2020,January,61.0,Fauquier County,5.0,10.0,74688.0,0.0,0.0,38.7441032,-77.8215847,Matching and updated,POINT (-77.8215847 38.7441032)
1387,2019,December,173.0,Smyth County,1807.0,5940.0,110654.88,593.0,9322.0,36.8423183,-81.5397861,Matching and updated,POINT (-81.5397861 36.8423183)
1388,2021,February,101.0,King William County,464.0,5089.0,9894.0,0.0,0.0,37.7082604,-77.0910539,Matching and updated,POINT (-77.0910539 37.7082604)
1389,2020,March,570.0,Colonial Heights City,0.0,1534.0,0.0,0.0,0.0,37.2616846,-77.3968043,Matching and updated,POINT (-77.3968043 37.2616846)
1390,2020,May,169.0,Scott County,371.0,677.0,17965.0,13.0,0.0,36.7127783,-82.6136268,Matching and updated,POINT (-82.6136268 36.7127783)
1391,2019,November,149.0,Prince George County,1.0,2.0,74688.0,0.0,0.0,37.1873255,-77.2209931,Matching and updated,POINT (-77.2209931 37.1873255)
1392,2019,October,640.0,Galax City,0.0,0.0,74688.0,252.0,0.0,36.6656397,-80.9143083,Matching and updated,POINT (-80.9143083 36.6656397)
1393,2019,November,197.0,Wythe County,920.0,2315.0,16712.1,0.0,0.0,36.9014709,-81.084209,Matching and updated,POINT (-81.084209 36.9014709)
1394,2020,December,167.0,Russell County,1237.0,2712.0,39725.03,0.0,0.0,36.9334198,-82.0959342,Matching and updated,POINT (-82.0959342 36.9334198)
